source,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,genus,species,taxa,plot_type
data_raw/surveys_part1.csv,33,7,17,1977,11,DM,F,36,NA,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,34,7,17,1977,17,DM,NA,NA,NA,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,35,7,17,1977,13,DM,F,38,NA,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,36,7,17,1977,16,OT,F,22,NA,Onychomys,torridus,Rodent,Rodent Exclosure
data_raw/surveys_part1.csv,37,7,17,1977,11,DM,F,35,NA,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,38,7,17,1977,17,NL,M,33,NA,Neotoma,albigula,Rodent,Control
data_raw/surveys_part1.csv,39,7,17,1977,11,DM,F,36,NA,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,40,7,18,1977,20,DM,M,36,NA,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,41,7,18,1977,23,DM,F,34,NA,Dipodomys,merriami,Rodent,Rodent Exclosure
data_raw/surveys_part1.csv,42,7,18,1977,18,DS,F,46,NA,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,43,7,18,1977,21,DM,M,36,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
data_raw/surveys_part1.csv,44,7,18,1977,18,DM,F,35,NA,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,45,7,18,1977,22,DM,M,36,NA,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,46,7,18,1977,19,DM,M,35,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
data_raw/surveys_part1.csv,47,7,18,1977,18,DM,M,32,NA,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,48,7,18,1977,20,DM,F,36,NA,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,49,7,18,1977,12,PP,F,17,NA,Chaetodipus,penicillatus,Rodent,Control
data_raw/surveys_part1.csv,50,7,18,1977,18,DM,F,32,NA,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,51,7,18,1977,21,DM,F,36,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
data_raw/surveys_part1.csv,52,7,18,1977,12,DM,F,26,NA,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,53,7,18,1977,22,DM,M,36,NA,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,54,7,18,1977,18,DM,M,37,NA,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,55,7,18,1977,23,DM,M,36,NA,Dipodomys,merriami,Rodent,Rodent Exclosure
data_raw/surveys_part1.csv,56,7,18,1977,20,DM,M,34,NA,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,57,7,18,1977,22,DM,NA,NA,NA,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,58,7,18,1977,12,DS,M,45,NA,Dipodomys,spectabilis,Rodent,Control
data_raw/surveys_part1.csv,59,7,18,1977,19,DM,M,33,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
data_raw/surveys_part1.csv,60,7,18,1977,19,PE,M,20,NA,Peromyscus,eremicus,Rodent,Long-term Krat Exclosure
data_raw/surveys_part1.csv,61,7,18,1977,23,DM,M,35,NA,Dipodomys,merriami,Rodent,Rodent Exclosure
data_raw/surveys_part1.csv,62,7,18,1977,19,DM,M,35,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
data_raw/surveys_part1.csv,63,8,19,1977,3,DM,M,35,40,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
data_raw/surveys_part1.csv,64,8,19,1977,7,DM,M,37,48,Dipodomys,merriami,Rodent,Rodent Exclosure
data_raw/surveys_part1.csv,65,8,19,1977,4,DM,F,34,29,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,66,8,19,1977,4,DM,F,35,46,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,67,8,19,1977,7,DM,M,35,36,Dipodomys,merriami,Rodent,Rodent Exclosure
data_raw/surveys_part1.csv,68,8,19,1977,8,DO,F,32,52,Dipodomys,ordii,Rodent,Control
data_raw/surveys_part1.csv,69,8,19,1977,2,PF,M,15,8,Perognathus,flavus,Rodent,Control
data_raw/surveys_part1.csv,70,8,19,1977,3,OX,F,21,22,Onychomys,sp.,Rodent,Long-term Krat Exclosure
data_raw/surveys_part1.csv,71,8,19,1977,7,DM,F,36,35,Dipodomys,merriami,Rodent,Rodent Exclosure
data_raw/surveys_part1.csv,72,8,19,1977,2,NL,M,31,NA,Neotoma,albigula,Rodent,Control
data_raw/surveys_part1.csv,73,8,19,1977,3,DS,F,44,NA,Dipodomys,spectabilis,Rodent,Long-term Krat Exclosure
data_raw/surveys_part1.csv,74,8,19,1977,8,PF,M,12,7,Perognathus,flavus,Rodent,Control
data_raw/surveys_part1.csv,75,8,19,1977,8,DM,F,32,22,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,76,8,19,1977,9,DS,F,47,NA,Dipodomys,spectabilis,Rodent,Spectab exclosure
data_raw/surveys_part1.csv,77,8,19,1977,4,SS,NA,NA,NA,Spermophilus,spilosoma,Rodent,Control
data_raw/surveys_part1.csv,78,8,19,1977,1,PF,M,16,9,Perognathus,flavus,Rodent,Spectab exclosure
data_raw/surveys_part1.csv,79,8,19,1977,7,DM,F,34,42,Dipodomys,merriami,Rodent,Rodent Exclosure
data_raw/surveys_part1.csv,80,8,19,1977,1,DS,M,48,NA,Dipodomys,spectabilis,Rodent,Spectab exclosure
data_raw/surveys_part1.csv,81,8,19,1977,4,PF,F,14,8,Perognathus,flavus,Rodent,Control
data_raw/surveys_part1.csv,82,8,19,1977,4,DM,F,35,41,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,83,8,20,1977,6,DM,F,37,37,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,84,8,20,1977,19,DM,F,35,43,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
data_raw/surveys_part1.csv,85,8,20,1977,23,DM,F,35,41,Dipodomys,merriami,Rodent,Rodent Exclosure
data_raw/surveys_part1.csv,86,8,20,1977,18,DM,F,33,40,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,87,8,20,1977,5,PF,F,11,9,Perognathus,flavus,Rodent,Rodent Exclosure
data_raw/surveys_part1.csv,88,8,20,1977,18,DM,F,35,45,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,89,8,20,1977,12,PP,F,20,15,Chaetodipus,penicillatus,Rodent,Control
data_raw/surveys_part1.csv,90,8,20,1977,18,DM,M,35,29,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,91,8,20,1977,11,DS,F,50,NA,Dipodomys,spectabilis,Rodent,Control
data_raw/surveys_part1.csv,92,8,20,1977,6,DM,M,35,39,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,93,8,20,1977,18,DM,NA,NA,42,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,94,8,20,1977,18,DM,F,36,43,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,95,8,20,1977,23,DM,M,38,46,Dipodomys,merriami,Rodent,Rodent Exclosure
data_raw/surveys_part1.csv,96,8,20,1977,12,DM,M,36,41,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,97,8,20,1977,18,DM,M,36,41,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,98,8,20,1977,5,DM,M,38,40,Dipodomys,merriami,Rodent,Rodent Exclosure
data_raw/surveys_part1.csv,99,8,20,1977,11,DM,M,37,45,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,100,8,20,1977,5,DS,F,54,NA,Dipodomys,spectabilis,Rodent,Rodent Exclosure
data_raw/surveys_part1.csv,101,8,20,1977,5,DM,F,35,46,Dipodomys,merriami,Rodent,Rodent Exclosure
data_raw/surveys_part1.csv,102,8,20,1977,23,DM,F,35,40,Dipodomys,merriami,Rodent,Rodent Exclosure
data_raw/surveys_part1.csv,103,8,20,1977,18,DM,F,35,30,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,104,8,20,1977,11,DS,M,43,NA,Dipodomys,spectabilis,Rodent,Control
data_raw/surveys_part1.csv,105,8,20,1977,19,DM,M,35,39,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
data_raw/surveys_part1.csv,106,8,20,1977,12,NL,NA,NA,NA,Neotoma,albigula,Rodent,Control
data_raw/surveys_part1.csv,107,8,20,1977,18,NL,NA,NA,NA,Neotoma,albigula,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,108,8,20,1977,11,PP,M,21,NA,Chaetodipus,penicillatus,Rodent,Control
data_raw/surveys_part1.csv,109,8,20,1977,6,DM,M,35,34,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,110,8,20,1977,10,DS,NA,NA,NA,Dipodomys,spectabilis,Rodent,Rodent Exclosure
data_raw/surveys_part1.csv,111,8,20,1977,11,DM,F,37,42,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,112,8,20,1977,23,DM,M,37,42,Dipodomys,merriami,Rodent,Rodent Exclosure
data_raw/surveys_part1.csv,113,8,20,1977,5,PF,F,13,8,Perognathus,flavus,Rodent,Rodent Exclosure
data_raw/surveys_part1.csv,114,8,21,1977,15,DM,F,32,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
data_raw/surveys_part1.csv,115,8,21,1977,21,DM,M,34,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
data_raw/surveys_part1.csv,116,8,21,1977,13,DM,F,37,31,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,117,8,21,1977,21,OX,F,19,NA,Onychomys,sp.,Rodent,Long-term Krat Exclosure
data_raw/surveys_part1.csv,118,8,21,1977,17,DM,M,33,NA,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,119,8,21,1977,20,DM,M,35,NA,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,120,8,21,1977,20,DM,M,35,NA,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,121,8,21,1977,15,NL,NA,NA,NA,Neotoma,albigula,Rodent,Long-term Krat Exclosure
data_raw/surveys_part1.csv,122,8,21,1977,22,DM,F,33,NA,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,123,8,21,1977,17,DM,M,37,NA,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,124,8,21,1977,14,DM,M,36,NA,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,125,8,21,1977,22,DM,M,35,NA,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,126,8,21,1977,20,DM,F,30,NA,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,127,8,21,1977,14,DM,M,33,NA,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,128,8,21,1977,15,DM,M,34,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
data_raw/surveys_part1.csv,129,8,21,1977,14,DM,F,34,NA,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,130,8,21,1977,16,DM,F,34,NA,Dipodomys,merriami,Rodent,Rodent Exclosure
data_raw/surveys_part1.csv,131,8,21,1977,22,DM,M,37,NA,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,132,8,21,1977,22,DM,F,33,NA,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,133,8,21,1977,15,DM,M,37,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
data_raw/surveys_part1.csv,134,8,21,1977,17,DS,F,45,NA,Dipodomys,spectabilis,Rodent,Control
data_raw/surveys_part1.csv,135,8,21,1977,15,DM,F,35,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
data_raw/surveys_part1.csv,136,8,21,1977,13,PF,F,16,NA,Perognathus,flavus,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,137,8,21,1977,20,DM,F,35,NA,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,138,8,21,1977,22,DM,M,37,NA,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,139,8,21,1977,14,PF,M,15,NA,Perognathus,flavus,Rodent,Control
data_raw/surveys_part1.csv,140,8,21,1977,20,DM,M,33,NA,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,141,8,21,1977,16,DM,M,36,NA,Dipodomys,merriami,Rodent,Rodent Exclosure
data_raw/surveys_part1.csv,142,8,21,1977,17,DM,F,34,NA,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,143,8,21,1977,15,DM,M,35,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
data_raw/surveys_part1.csv,144,8,21,1977,15,DS,M,40,NA,Dipodomys,spectabilis,Rodent,Long-term Krat Exclosure
data_raw/surveys_part1.csv,145,8,21,1977,13,DM,F,37,NA,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,146,8,21,1977,13,DM,F,36,40,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,147,8,21,1977,13,DM,M,37,NA,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,148,8,21,1977,14,DM,M,37,NA,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,149,8,21,1977,20,DS,M,50,NA,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,150,8,21,1977,21,DM,M,35,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
data_raw/surveys_part1.csv,151,8,21,1977,13,DM,M,35,NA,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,152,8,21,1977,14,DM,M,38,NA,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,153,8,21,1977,16,DS,F,50,NA,Dipodomys,spectabilis,Rodent,Rodent Exclosure
data_raw/surveys_part1.csv,154,8,21,1977,20,DS,F,47,NA,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,155,8,21,1977,20,DS,NA,NA,NA,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,156,8,21,1977,21,DM,M,35,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
data_raw/surveys_part1.csv,157,9,11,1977,20,DM,M,36,37,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,158,9,11,1977,22,DM,M,36,48,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,159,9,11,1977,5,DS,M,53,NA,Dipodomys,spectabilis,Rodent,Rodent Exclosure
data_raw/surveys_part1.csv,160,9,11,1977,21,DM,M,37,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
data_raw/surveys_part1.csv,161,9,11,1977,5,DM,M,37,42,Dipodomys,merriami,Rodent,Rodent Exclosure
data_raw/surveys_part1.csv,162,9,11,1977,6,DM,F,39,45,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,163,9,11,1977,12,PP,F,21,16,Chaetodipus,penicillatus,Rodent,Control
data_raw/surveys_part1.csv,164,9,11,1977,22,DM,F,36,36,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,165,9,11,1977,19,DS,F,50,NA,Dipodomys,spectabilis,Rodent,Long-term Krat Exclosure
data_raw/surveys_part1.csv,166,9,11,1977,21,OX,M,13,NA,Onychomys,sp.,Rodent,Long-term Krat Exclosure
data_raw/surveys_part1.csv,167,9,11,1977,6,DM,M,36,42,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,168,9,11,1977,12,DM,M,36,44,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,169,9,11,1977,5,DM,M,37,NA,Dipodomys,merriami,Rodent,Rodent Exclosure
data_raw/surveys_part1.csv,170,9,11,1977,20,DM,F,36,41,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,171,9,11,1977,12,NL,NA,NA,NA,Neotoma,albigula,Rodent,Control
data_raw/surveys_part1.csv,172,9,11,1977,22,PF,F,NA,8,Perognathus,flavus,Rodent,Control
data_raw/surveys_part1.csv,173,9,11,1977,12,DM,F,36,40,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,174,9,11,1977,12,DM,M,37,34,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,175,9,11,1977,19,DM,M,33,40,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
data_raw/surveys_part1.csv,176,9,11,1977,12,DS,M,45,NA,Dipodomys,spectabilis,Rodent,Control
data_raw/surveys_part1.csv,177,9,11,1977,5,OX,F,NA,20,Onychomys,sp.,Rodent,Rodent Exclosure
data_raw/surveys_part1.csv,178,9,11,1977,18,DM,M,33,44,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,179,9,11,1977,12,DM,M,37,44,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,180,9,11,1977,6,DM,M,34,36,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,181,9,11,1977,20,DM,M,35,33,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,182,9,11,1977,21,DS,M,49,NA,Dipodomys,spectabilis,Rodent,Long-term Krat Exclosure
data_raw/surveys_part1.csv,183,9,11,1977,5,DM,F,37,46,Dipodomys,merriami,Rodent,Rodent Exclosure
data_raw/surveys_part1.csv,184,9,11,1977,20,DS,M,52,NA,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,185,9,11,1977,12,OX,F,19,NA,Onychomys,sp.,Rodent,Control
data_raw/surveys_part1.csv,186,9,11,1977,19,DM,F,34,35,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
data_raw/surveys_part1.csv,187,9,12,1977,17,DM,M,36,46,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,188,9,12,1977,14,DS,F,48,NA,Dipodomys,spectabilis,Rodent,Control
data_raw/surveys_part1.csv,189,9,12,1977,17,DM,F,33,37,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,190,9,12,1977,7,DM,M,36,34,Dipodomys,merriami,Rodent,Rodent Exclosure
data_raw/surveys_part1.csv,191,9,12,1977,17,DS,M,47,NA,Dipodomys,spectabilis,Rodent,Control
data_raw/surveys_part1.csv,192,9,12,1977,4,DM,F,36,45,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,193,9,12,1977,7,PE,NA,NA,NA,Peromyscus,eremicus,Rodent,Rodent Exclosure
data_raw/surveys_part1.csv,194,9,12,1977,11,NL,NA,NA,NA,Neotoma,albigula,Rodent,Control
data_raw/surveys_part1.csv,195,9,12,1977,4,DS,M,50,NA,Dipodomys,spectabilis,Rodent,Control
data_raw/surveys_part1.csv,196,9,12,1977,7,PF,F,15,7,Perognathus,flavus,Rodent,Rodent Exclosure
data_raw/surveys_part1.csv,197,9,12,1977,14,DM,M,37,51,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,198,9,12,1977,4,DM,M,35,39,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,199,9,12,1977,11,DM,M,36,29,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,200,9,12,1977,17,DS,F,52,NA,Dipodomys,spectabilis,Rodent,Control
data_raw/surveys_part1.csv,201,9,12,1977,10,DS,M,47,NA,Dipodomys,spectabilis,Rodent,Rodent Exclosure
data_raw/surveys_part1.csv,202,9,12,1977,17,DM,F,32,48,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,203,9,12,1977,11,DM,M,38,46,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,204,9,12,1977,16,DM,F,37,41,Dipodomys,merriami,Rodent,Rodent Exclosure
data_raw/surveys_part1.csv,205,9,12,1977,16,DS,M,50,NA,Dipodomys,spectabilis,Rodent,Rodent Exclosure
data_raw/surveys_part1.csv,206,9,12,1977,23,DS,F,52,NA,Dipodomys,spectabilis,Rodent,Rodent Exclosure
data_raw/surveys_part1.csv,207,9,12,1977,16,DS,F,53,NA,Dipodomys,spectabilis,Rodent,Rodent Exclosure
data_raw/surveys_part1.csv,208,9,12,1977,14,DM,M,37,45,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,209,9,12,1977,17,DM,F,35,42,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,210,9,12,1977,11,DM,F,36,53,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,211,9,12,1977,4,DS,F,48,NA,Dipodomys,spectabilis,Rodent,Control
data_raw/surveys_part1.csv,212,9,12,1977,16,PF,NA,NA,NA,Perognathus,flavus,Rodent,Rodent Exclosure
data_raw/surveys_part1.csv,213,9,12,1977,14,DM,F,35,49,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,214,9,12,1977,17,NL,NA,NA,NA,Neotoma,albigula,Rodent,Control
data_raw/surveys_part1.csv,215,9,12,1977,14,DM,F,36,46,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,216,9,12,1977,4,PF,F,13,9,Perognathus,flavus,Rodent,Control
data_raw/surveys_part1.csv,217,9,13,1977,3,PP,F,19,15,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure
data_raw/surveys_part1.csv,218,9,13,1977,1,PF,M,13,4,Perognathus,flavus,Rodent,Spectab exclosure
data_raw/surveys_part1.csv,219,9,13,1977,13,DM,M,36,48,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,220,9,13,1977,2,DS,M,52,NA,Dipodomys,spectabilis,Rodent,Control
data_raw/surveys_part1.csv,221,9,13,1977,3,DM,NA,NA,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
data_raw/surveys_part1.csv,222,9,13,1977,1,DS,M,52,NA,Dipodomys,spectabilis,Rodent,Spectab exclosure
data_raw/surveys_part1.csv,223,9,13,1977,8,DS,F,50,NA,Dipodomys,spectabilis,Rodent,Control
data_raw/surveys_part1.csv,224,9,13,1977,2,NL,NA,NA,NA,Neotoma,albigula,Rodent,Control
data_raw/surveys_part1.csv,225,9,13,1977,15,DM,NA,NA,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
data_raw/surveys_part1.csv,226,9,13,1977,2,DM,M,37,51,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,227,9,13,1977,15,DM,NA,NA,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
data_raw/surveys_part1.csv,228,9,13,1977,9,DM,M,38,50,Dipodomys,merriami,Rodent,Spectab exclosure
data_raw/surveys_part1.csv,229,9,13,1977,13,DM,M,35,44,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
